Indicator_Name,Indicator_Code
"Final consumption expenditure, etc. (constant LCU)",NE.CON.TETC.KN
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS
Telephone lines,IT.MLT.MAIN
"Average interest on new external debt commitments, private (%)",DT.INR.PRVT
Money (current LCU),FM.LBL.MONY.CN
"Household final consumption expenditure, etc. (current US$)",NE.CON.PETC.CD
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD
"School enrollment, secondary (% net)",SE.SEC.NENR
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP
"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD
"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD
(%) Generosity of Unemp benefits and ALMP,lm_ub.gen_pop
Time to resolve insolvency (years),IC.ISV.DURS
"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS
Procedures to register property (number),IC.PRP.PROC
Gross domestic savings (current LCU),NY.GDS.TOTL.CN
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS
GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD
Refugee population by country or territory of origin,SM.POP.REFG.OR
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD
"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD
"Health expenditure, public (% of GDP)",SH.XPD.PUBL.ZS
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD
Changes in inventories (current US$),NE.GDI.STKB.CD
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD
Land area (sq. km),AG.LND.TOTL.K2
Deposit interest rate (%),FR.INR.DPST
(%) Benefits held by 1st 20% population - All Social Insurance,allsi.bi_q1
"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD
"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD
Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6
"Employment to population ratio, 15+, male (%)",SL.EMP.TOTL.SP.MA.ZS
Other taxes (current LCU),GC.TAX.OTHR.CN
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD
Lending interest rate (%),FR.INR.LEND
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS
"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS
"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS
"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD
"Unemployment with primary education, female (% of female unemployment)",SL.UEM.PRIM.FE.ZS
"PPG, bonds (NTR, current US$)",DT.NTR.PBND.CD
Number of neonatal deaths,SH.DTH.NMRT
"Trademark applications, direct nonresident",IP.TMK.NRES
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL
Net official development assistance and official aid received (constant 2011 US$),DT.ODA.ALLD.KD
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD
"Roads, goods transported (million ton-km)",IS.ROD.GOOD.MT.K6
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD
Refugee population by country or territory of asylum,SM.POP.REFG
Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS
Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3
"Final consumption expenditure, etc. (current US$)",NE.CON.TETC.CD
"Unemployment with tertiary education, male (% of male unemployment)",SL.UEM.TERT.MA.ZS
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD
Time required to start a business (days),IC.REG.DURS
"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD
GDP per capita (current US$),NY.GDP.PCAP.CD
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS
Net migration,SM.POP.NETM
Net current transfers from abroad (current US$),NY.TRF.NCTR.CD
GNI (current US$),NY.GNP.MKTP.CD
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT
Final consumption expenditure (current US$),NE.CON.TOTL.CD
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS
"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD
"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD
(%) Program participation - All Social Protection,allsp.cov_pop
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS
CO2 emissions from manufacturing industries and construction (million metric tons),EN.CO2.MANF.MT
Permanent cropland (% of land area),AG.LND.CROP.ZS
"Secondary education, teachers, female",SE.SEC.TCHR.FE
"Children out of school, primary, female",SE.PRM.UNER.FE
(%) Generosity of All Social Protection,allsp.gen_pop
Net taxes on products (current US$),NY.TAX.NIND.CD
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS
GNI (current LCU),NY.GNP.MKTP.CN
"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD
Documents to import (number),IC.IMP.DOCS
"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD
"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD
"Employers, male (% of employment)",SL.EMP.MPYR.MA.ZS
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS
"Trademark applications, direct resident",IP.TMK.RESD
Prevalence of wasting (% of children under 5),SH.STA.WAST.ZS
Net foreign assets (current LCU),FM.AST.NFRG.CN
(%) Program participation - All Social Insurance,allsi.cov_pop
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN
Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN
"Secondary education, general pupils",SE.SEC.ENRL.GC
CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS
"Labor force participation rate, female (% of female population ages 15-64)",SL.TLF.ACTI.FE.ZS
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS
Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS
Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT
Progression to secondary school (%),SE.SEC.PROG.ZS
Electricity production from renewable sources (kWh),EG.ELC.RNEW.KH
CO2 emissions from transport (million metric tons),EN.CO2.TRAN.MT
Debt buyback (current US$),DT.DSB.DPPG.CD
"PPG, bilateral concessional (NTR, current US$)",DT.NTR.BLTC.CD
"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD
"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS
"Principal repayments on external debt, long-term + IMF (AMT, current US$)",DT.AMT.DLTF.CD
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS
Customs and other import duties (current LCU),GC.TAX.IMPT.CN
Mobile cellular subscriptions,IT.CEL.SETS
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN
Labor force with primary education (% of total),SL.TLF.PRIM.ZS
Delay in obtaining an electrical connection (days),IC.ELC.DURS
"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS
Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS
CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS
Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS
Poverty gap at urban poverty line (%),SI.POV.URGP
Interest payments (% of expense),GC.XPN.INTP.ZS
"International tourism, expenditures (current US$)",ST.INT.XPND.CD
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS
"Patent applications, residents",IP.PAT.RESD
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS
Military expenditure (current LCU),MS.MIL.XPND.CN
"Labor force participation rate, total (% of total population ages 15-24)",SL.TLF.ACTI.1524.ZS
Poverty gap at $2 a day (PPP) (%),SI.POV.GAP2
"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS
"Employees, services, male (% of male employment)",SL.SRV.EMPL.MA.ZS
"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD
Merchandise exports to developing economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS
Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS
"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS
Road sector gasoline fuel consumption (kt of oil equivalent),IS.ROD.SGAS.KT
Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD
"Armed forces personnel, total",MS.MIL.TOTL.P1
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD
Start-up procedures to register a business (number),IC.REG.PROC
CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ
CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ
"Labor force participation rate, female (% of female population ages 15-24)",SL.TLF.ACTI.1524.FE.ZS
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD
"Tertiary education, teachers (% female)",SE.TER.TCHR.FE.ZS
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN
Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD
"Listed domestic companies, total",CM.MKT.LDOM.NO
Net taxes on products (constant LCU),NY.TAX.NIND.KN
"PPG, IDA (TDS, current US$)",DT.TDS.MIDA.CD
Electricity production from hydroelectric sources (kWh),EG.ELC.HYRO.KH
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD
"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS
Merchandise imports from developing economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS
"Mortality rate, under-5, male (per 1,000)",SH.DYN.MORT.MA
Real effective exchange rate index (2005 = 100),PX.REX.REER
"Employees, agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS
Final consumption expenditure (current LCU),NE.CON.TOTL.CN
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD
"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR
Land under cereal production (hectares),AG.LND.CREL.HA
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD
(%) Program participation - All Social Safety Nets,allsa.cov_pop
"Currency composition of PPG debt, Swiss franc (%)",DT.CUR.SWFR.ZS
"Water pollution, food industry (% of total BOD emissions)",EE.BOD.FOOD.ZS
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS
"Services, etc., value added (annual % growth)",NV.SRV.TETC.KD.ZG
"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD
GDP (current US$),NY.GDP.MKTP.CD
"Internally displaced persons (number, low estimate)",VC.IDP.TOTL.LE
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS
Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS
Cost to import (US$ per container),IC.IMP.COST.CD
"Contributing family workers, male (% of males employed)",SL.FAM.WORK.MA.ZS
Time required to get electricity (days),IC.ELC.TIME
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS
Debt forgiveness grants (current US$),DT.DOD.MDRI.CD
Wholesale price index (2005 = 100),FP.WPI.TOTL
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD
"Self-employed, male (% of males employed)",SL.EMP.SELF.MA.ZS
"PPG, multilateral concessional (NFL, current US$)",DT.NFL.MLTC.CD
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS
"Interest payments on external debt (% of exports of goods, services and primary income)",DT.INT.DECT.EX.ZS
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS
Gross value added at factor cost (constant 2005 US$),NY.GDP.FCST.KD
"Mammal species, threatened",EN.MAM.THRD.NO
"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD
"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS
Gross savings (current LCU),NY.GNS.ICTR.CN
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN
"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD
Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS
"Primary education, teachers",SE.PRM.TCHR
"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS
"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD
Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS
Interest payments (current LCU),GC.XPN.INTP.CN
Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS
"Malnutrition prevalence, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS
Completeness of birth registration (%),SP.REG.BRTH.ZS
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
Gross capital formation (constant 2005 US$),NE.GDI.TOTL.KD
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS
Present value of external debt (current US$),DT.DOD.PVLX.CD
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS
Tuberculosis treatment success rate (% of registered cases),SH.TBS.CURE.ZS
Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS
Income share held by lowest 10%,SI.DST.FRST.10
"Labor participation rate, female (% of female population ages 15+)",SL.TLF.CACT.FE.ZS
CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS
Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS
"GNI per capita, PPP (constant 2005 international $)",NY.GNP.PCAP.PP.KD
"Repeaters, secondary, male (% of male enrollment)",SE.SEC.REPT.MA.ZS
Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS
"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD
Unemployment with secondary education (% of total unemployment),SL.UEM.SECO.ZS
"Principal arrears, private creditors (current US$)",DT.AXA.PRVT.CD
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS
"Fish species, threatened",EN.FSH.THRD.NO
"PPG, bilateral concessional (NFL, current US$)",DT.NFL.BLTC.CD
"PPG, bonds (DIS, current US$)",DT.DIS.PBND.CD
Gross value added at factor cost (current US$),NY.GDP.FCST.CD
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3
"Water pollution, metal industry (% of total BOD emissions)",EE.BOD.MTAL.ZS
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS
Multilateral debt (% of total external debt),DT.DOD.MLAT.ZS
"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD
"CO2 emissions from electricity and heat production, total (million metric tons)",EN.CO2.ETOT.MT
Firms with female top manager (% of firms),IC.FRM.FEMM.ZS
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD
"Employment to population ratio, ages 15-24, total (%)",SL.EMP.1524.SP.ZS
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN
"Vulnerable employment, male (% of male employment)",SL.EMP.VULN.MA.ZS
"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS
Gross value added at factor cost (current LCU),NY.GDP.FCST.CN
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ
General government final consumption expenditure (constant 2005 US$),NE.CON.GOVT.KD
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD
Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS
"Agricultural machinery, tractors",AG.AGR.TRAC.NO
Rural population growth (annual %),SP.RUR.TOTL.ZG
"Net incurrence of liabilities, foreign (% of GDP)",GC.FIN.FRGN.GD.ZS
"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ
Gross savings (% of GDP),NY.GNS.ICTR.ZS
GNI growth (annual %),NY.GNP.MKTP.KD.ZG
"Industry, value added (constant LCU)",NV.IND.TOTL.KN
Subsidies and other transfers (current LCU),GC.XPN.TRFT.CN
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS
"PPG, IDA (AMT, current US$)",DT.AMT.MIDA.CD
"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS
Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT
(%) Benefits held by 1st 20% population - All Social Safety Nets,allsa.bi_q1
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD
CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ
Household final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS
(%) Generosity of All Social Safety Nets,allsa.gen_pop
Gross value added at factor cost (constant LCU),NY.GDP.FCST.KN
Total change in external debt stocks (current US$),DT.DOD.DECT.CD.CG
"PPG, multilateral concessional (DIS, current US$)",DT.DIS.MLTC.CD
"Net incurrence of liabilities, foreign (current LCU)",GC.FIN.FRGN.CN
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS
"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN
"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS
Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS
External balance on goods and services (current LCU),NE.RSB.GNFS.CN
"PM10, country level (micrograms per cubic meter)",EN.ATM.PM10.MC.M3
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD
"Labor force participation rate, male (% of male population ages 15-64)",SL.TLF.ACTI.MA.ZS
